n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack #random_message
24, 9, NAN, 16.46kb, 0.000100sec, RES=2456kb, VmSize=3844kb, 0.002264sec, 4665
24, 10, NAN, 32.85kb, 0.000202sec, RES=2456kb, VmSize=3844kb, 0.000835sec, 1341
24, 11, NAN, 65.62kb, 0.000412sec, RES=2456kb, VmSize=3844kb, 0.001804sec, 2916
24, 12, NAN, 131.15kb, 0.000860sec, RES=2456kb, VmSize=3844kb, 0.001636sec, 1649
25, 1, NAN, 0.14kb, 0.000000sec, RES=2456kb, VmSize=3844kb, 4.617856sec, 10027725
25, 2, NAN, 0.21kb, 0.000002sec, RES=2456kb, VmSize=3844kb, 13.421749sec, 29061784
25, 3, NAN, 0.34kb, 0.000002sec, RES=2456kb, VmSize=3844kb, 0.293039sec, 634791
25, 4, NAN, 0.59kb, 0.000028sec, RES=2456kb, VmSize=3844kb, 0.366623sec, 793727
25, 5, NAN, 1.10kb, 0.000031sec, RES=2456kb, VmSize=3844kb, 0.143986sec, 312357
25, 6, NAN, 2.13kb, 0.000013sec, RES=2456kb, VmSize=3844kb, 0.127562sec, 275432
25, 7, NAN, 4.18kb, 0.000025sec, RES=2456kb, VmSize=3844kb, 0.170418sec, 366569
25, 8, NAN, 8.27kb, 0.000049sec, RES=2456kb, VmSize=3844kb, 0.055800sec, 120407
25, 9, NAN, 16.46kb, 0.000100sec, RES=2456kb, VmSize=3844kb, 0.026789sec, 57652
25, 10, NAN, 32.85kb, 0.000206sec, RES=2456kb, VmSize=3844kb, 0.000274sec, 128
25, 11, NAN, 65.62kb, 0.000418sec, RES=2456kb, VmSize=3844kb, 0.006384sec, 12897
25, 12, NAN, 131.15kb, 0.000818sec, RES=2456kb, VmSize=3844kb, 0.005144sec, 9317
26, 1, NAN, 0.14kb, 0.000001sec, RES=2456kb, VmSize=3844kb, 63.674841sec, 138303088
26, 2, NAN, 0.21kb, 0.000002sec, RES=2456kb, VmSize=3844kb, 6.752295sec, 14662687
26, 3, NAN, 0.34kb, 0.000002sec, RES=2456kb, VmSize=3844kb, 2.646989sec, 5758889
26, 4, NAN, 0.59kb, 0.000004sec, RES=2456kb, VmSize=3844kb, 1.038916sec, 2253850
26, 5, NAN, 1.10kb, 0.000006sec, RES=2456kb, VmSize=3844kb, 0.673639sec, 1461411
26, 6, NAN, 2.13kb, 0.000013sec, RES=2456kb, VmSize=3844kb, 0.113876sec, 246739
26, 7, NAN, 4.18kb, 0.000025sec, RES=2456kb, VmSize=3844kb, 0.158806sec, 344762
26, 8, NAN, 8.27kb, 0.000050sec, RES=2456kb, VmSize=3844kb, 0.096063sec, 208044
26, 9, NAN, 16.46kb, 0.000099sec, RES=2456kb, VmSize=3844kb, 0.191075sec, 414041
26, 10, NAN, 32.85kb, 0.000198sec, RES=2456kb, VmSize=3844kb, 0.008384sec, 17761
26, 11, NAN, 65.62kb, 0.000400sec, RES=2456kb, VmSize=3844kb, 0.007562sec, 15498
26, 12, NAN, 131.15kb, 0.000796sec, RES=2456kb, VmSize=3844kb, 0.005550sec, 10257
26, 13, NAN, 262.22kb, 0.001673sec, RES=2720kb, VmSize=4104kb, 0.001673, 0
27, 1, NAN, 0.14kb, 0.000001sec, RES=2720kb, VmSize=4104kb, 65.949279sec, 143546544
27, 2, NAN, 0.21kb, 0.000002sec, RES=2720kb, VmSize=4104kb, 35.968930sec, 78045375
27, 3, NAN, 0.34kb, 0.000002sec, RES=2720kb, VmSize=4104kb, 15.937702sec, 34434662
27, 4, NAN, 0.59kb, 0.000004sec, RES=2720kb, VmSize=4104kb, 0.422091sec, 910982
27, 5, NAN, 1.10kb, 0.000007sec, RES=2720kb, VmSize=4104kb, 2.746425sec, 5940538
27, 6, NAN, 2.13kb, 0.000013sec, RES=2720kb, VmSize=4104kb, 0.309237sec, 670188
27, 7, NAN, 4.18kb, 0.000025sec, RES=2720kb, VmSize=4104kb, 0.209770sec, 454954
27, 8, NAN, 8.27kb, 0.000050sec, RES=2720kb, VmSize=4104kb, 0.307033sec, 665489
27, 9, NAN, 16.46kb, 0.000102sec, RES=2720kb, VmSize=4104kb, 0.050455sec, 108874
27, 10, NAN, 32.85kb, 0.000200sec, RES=2720kb, VmSize=4104kb, 0.003249sec, 6578
27, 11, NAN, 65.62kb, 0.000398sec, RES=2720kb, VmSize=4104kb, 0.000398, 0
27, 12, NAN, 131.15kb, 0.000891sec, RES=2720kb, VmSize=4236kb, 0.000891, 0
27, 13, NAN, 262.22kb, 0.001655sec, RES=2984kb, VmSize=4496kb, 0.001655, 0
28, 1, NAN, 0.14kb, 0.000000sec, RES=2984kb, VmSize=4496kb, 197.277558sec, 428457921
28, 2, NAN, 0.21kb, 0.000002sec, RES=2984kb, VmSize=4496kb, 27.458236sec, 59802341
28, 3, NAN, 0.34kb, 0.000002sec, RES=2984kb, VmSize=4496kb, 21.108265sec, 45780981
28, 4, NAN, 0.59kb, 0.000004sec, RES=2984kb, VmSize=4496kb, 1.796611sec, 3897668
28, 5, NAN, 1.10kb, 0.000007sec, RES=2984kb, VmSize=4496kb, 1.914052sec, 4154697
28, 6, NAN, 2.13kb, 0.000013sec, RES=2984kb, VmSize=4496kb, 0.708454sec, 1534230
28, 7, NAN, 4.18kb, 0.000025sec, RES=2984kb, VmSize=4496kb, 0.484763sec, 1050366
28, 8, NAN, 8.27kb, 0.000050sec, RES=2984kb, VmSize=4496kb, 0.217403sec, 471700
28, 9, NAN, 16.46kb, 0.000100sec, RES=2984kb, VmSize=4496kb, 0.613125sec, 1329592
28, 10, NAN, 32.85kb, 0.000198sec, RES=2984kb, VmSize=4496kb, 0.006502sec, 13691
28, 11, NAN, 65.62kb, 0.000400sec, RES=2984kb, VmSize=4496kb, 0.067626sec, 145394
28, 12, NAN, 131.15kb, 0.000863sec, RES=3248kb, VmSize=4628kb, 0.003740sec, 6200
28, 13, NAN, 262.22kb, 0.001673sec, RES=3208kb, VmSize=4756kb, 0.001878sec, 426
28, 14, NAN, 524.37kb, 0.003323sec, RES=3468kb, VmSize=5012kb, 0.003323, 0
29, 1, NAN, 0.14kb, 0.000000sec, RES=3468kb, VmSize=5012kb, 147.784441sec, 322716899
29, 2, NAN, 0.21kb, 0.000001sec, RES=3468kb, VmSize=5012kb, 284.695147sec, 620415669
29, 3, NAN, 0.34kb, 0.000002sec, RES=3468kb, VmSize=5012kb, 0.655246sec, 1420926
29, 4, NAN, 0.59kb, 0.000003sec, RES=3468kb, VmSize=5012kb, 42.865069sec, 92811183
29, 5, NAN, 1.10kb, 0.000007sec, RES=3468kb, VmSize=5012kb, 8.782746sec, 18997750
29, 6, NAN, 2.13kb, 0.000013sec, RES=3468kb, VmSize=5012kb, 6.376665sec, 13810913
29, 7, NAN, 4.18kb, 0.000025sec, RES=3468kb, VmSize=5012kb, 0.805818sec, 1749042
29, 8, NAN, 8.27kb, 0.000051sec, RES=3468kb, VmSize=5012kb, 0.309245sec, 668661
29, 9, NAN, 16.46kb, 0.000099sec, RES=3468kb, VmSize=5012kb, 0.300978sec, 651588
29, 10, NAN, 32.85kb, 0.000208sec, RES=3468kb, VmSize=5012kb, 0.211538sec, 455177
29, 11, NAN, 65.62kb, 0.000400sec, RES=3468kb, VmSize=5012kb, 0.045905sec, 98300
29, 12, NAN, 131.15kb, 0.000836sec, RES=3732kb, VmSize=5204kb, 0.260928sec, 558498
29, 13, NAN, 262.22kb, 0.001658sec, RES=3732kb, VmSize=5204kb, 0.015971sec, 30519
29, 14, NAN, 524.37kb, 0.003339sec, RES=4260kb, VmSize=5720kb, 0.035650sec, 69297
