n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack trials idx_message
26, 6, NAN, 3.15kb, 0.000002sec, RES=2836kb, VmSize=190252kb, 0.000028sec, 0, 63
26, 7, NAN, 6.22kb, 0.000006sec, RES=2836kb, VmSize=190252kb, 0.000031sec, 0, 127
26, 8, NAN, 12.37kb, 0.000011sec, RES=2836kb, VmSize=190252kb, 0.000036sec, 0, 255
26, 9, NAN, 24.66kb, 0.000021sec, RES=2836kb, VmSize=190252kb, 0.000046sec, 0, 511
26, 10, NAN, 49.23kb, 0.000043sec, RES=2836kb, VmSize=190252kb, 0.000106sec, 0, 1023
26, 11, NAN, 98.38kb, 0.000087sec, RES=2836kb, VmSize=190252kb, 0.000115sec, 0, 2047
26, 12, NAN, 196.69kb, 0.000176sec, RES=2836kb, VmSize=190252kb, 0.000203sec, 0, 4095
26, 13, NAN, 393.30kb, 0.000455sec, RES=3096kb, VmSize=190640kb, 0.000484sec, 0, 8191
27, 1, NAN, 0.18kb, 0.000001sec, RES=2932kb, VmSize=190252kb, 0.000028sec, 0, 1
27, 2, NAN, 0.27kb, 0.000001sec, RES=2932kb, VmSize=190252kb, 0.000027sec, 0, 3
27, 3, NAN, 0.46kb, 0.000000sec, RES=2932kb, VmSize=190252kb, 0.000025sec, 0, 7
27, 4, NAN, 0.85kb, 0.000001sec, RES=2932kb, VmSize=190252kb, 0.000026sec, 0, 15
27, 5, NAN, 1.62kb, 0.000002sec, RES=2932kb, VmSize=190252kb, 0.000028sec, 0, 31
27, 6, NAN, 3.15kb, 0.000003sec, RES=2932kb, VmSize=190252kb, 0.000030sec, 0, 63
27, 7, NAN, 6.22kb, 0.000005sec, RES=2932kb, VmSize=190252kb, 0.000030sec, 0, 127
27, 8, NAN, 12.37kb, 0.000010sec, RES=2932kb, VmSize=190252kb, 0.000036sec, 0, 255
27, 9, NAN, 24.66kb, 0.000021sec, RES=2932kb, VmSize=190252kb, 0.000046sec, 0, 511
27, 10, NAN, 49.23kb, 0.000043sec, RES=2932kb, VmSize=190252kb, 0.000069sec, 0, 1023
27, 11, NAN, 98.38kb, 0.000087sec, RES=2932kb, VmSize=190252kb, 0.000113sec, 0, 2047
27, 12, NAN, 196.69kb, 0.000177sec, RES=2932kb, VmSize=190252kb, 0.000204sec, 0, 4095
27, 13, NAN, 393.30kb, 0.000403sec, RES=2932kb, VmSize=190444kb, 0.000429sec, 0, 8191
28, 1, NAN, 0.18kb, 0.000000sec, RES=2932kb, VmSize=190444kb, 0.000025sec, 0, 1
28, 2, NAN, 0.27kb, 0.000000sec, RES=2932kb, VmSize=190444kb, 0.000027sec, 0, 3
28, 3, NAN, 0.46kb, 0.000000sec, RES=2932kb, VmSize=190444kb, 0.000026sec, 0, 7
28, 4, NAN, 0.85kb, 0.000001sec, RES=2932kb, VmSize=190444kb, 0.000026sec, 0, 15
28, 5, NAN, 1.62kb, 0.000001sec, RES=2932kb, VmSize=190444kb, 0.000027sec, 0, 31
28, 6, NAN, 3.15kb, 0.000003sec, RES=2932kb, VmSize=190444kb, 0.000028sec, 0, 63
28, 7, NAN, 6.22kb, 0.000005sec, RES=2932kb, VmSize=190444kb, 0.000032sec, 0, 127
28, 8, NAN, 12.37kb, 0.000010sec, RES=2932kb, VmSize=190444kb, 0.000036sec, 0, 255
28, 9, NAN, 24.66kb, 0.000021sec, RES=2932kb, VmSize=190444kb, 0.000046sec, 0, 511
28, 10, NAN, 49.23kb, 0.000044sec, RES=2932kb, VmSize=190444kb, 0.000553sec, 0, 1023
28, 11, NAN, 98.38kb, 0.000086sec, RES=2932kb, VmSize=190444kb, 0.000114sec, 0, 2047
28, 12, NAN, 196.69kb, 0.000176sec, RES=2932kb, VmSize=190444kb, 0.000201sec, 0, 4095
28, 13, NAN, 393.30kb, 0.000360sec, RES=2932kb, VmSize=190444kb, 0.000385sec, 0, 8191
28, 14, NAN, 786.51kb, 0.000904sec, RES=3720kb, VmSize=191216kb, 0.000938sec, 0, 16383
29, 1, NAN, 0.18kb, 0.000001sec, RES=3124kb, VmSize=190444kb, 0.000031sec, 0, 1
29, 2, NAN, 0.27kb, 0.000000sec, RES=3124kb, VmSize=190444kb, 0.000028sec, 0, 3
29, 3, NAN, 0.46kb, 0.000000sec, RES=3124kb, VmSize=190444kb, 0.000026sec, 0, 7
29, 4, NAN, 0.85kb, 0.000000sec, RES=3124kb, VmSize=190444kb, 0.000024sec, 0, 15
29, 5, NAN, 1.62kb, 0.000001sec, RES=3124kb, VmSize=190444kb, 0.000026sec, 0, 31
29, 6, NAN, 3.15kb, 0.000003sec, RES=3124kb, VmSize=190444kb, 0.000029sec, 0, 63
29, 7, NAN, 6.22kb, 0.000005sec, RES=3124kb, VmSize=190444kb, 0.000029sec, 0, 127
29, 8, NAN, 12.37kb, 0.000010sec, RES=3124kb, VmSize=190444kb, 0.000036sec, 0, 255
29, 9, NAN, 24.66kb, 0.000021sec, RES=3124kb, VmSize=190444kb, 0.000047sec, 0, 511
29, 10, NAN, 49.23kb, 0.000043sec, RES=3124kb, VmSize=190444kb, 0.000067sec, 0, 1023
29, 11, NAN, 98.38kb, 0.000087sec, RES=3124kb, VmSize=190444kb, 0.000113sec, 0, 2047
29, 12, NAN, 196.69kb, 0.000177sec, RES=3124kb, VmSize=190444kb, 0.000202sec, 0, 4095
29, 13, NAN, 393.30kb, 0.000359sec, RES=3124kb, VmSize=190444kb, 0.000386sec, 0, 8191
29, 14, NAN, 786.51kb, 0.000823sec, RES=3384kb, VmSize=190828kb, 0.000857sec, 0, 16383
30, 1, NAN, 0.18kb, 0.000000sec, RES=3384kb, VmSize=190828kb, 0.000029sec, 0, 1
30, 2, NAN, 0.27kb, 0.000000sec, RES=3384kb, VmSize=190828kb, 0.000026sec, 0, 3
30, 3, NAN, 0.46kb, 0.000001sec, RES=3384kb, VmSize=190828kb, 0.000026sec, 0, 7
30, 4, NAN, 0.85kb, 0.000001sec, RES=3384kb, VmSize=190828kb, 0.000026sec, 0, 15
30, 5, NAN, 1.62kb, 0.000001sec, RES=3384kb, VmSize=190828kb, 0.000026sec, 0, 31
30, 6, NAN, 3.15kb, 0.000002sec, RES=3384kb, VmSize=190828kb, 0.000028sec, 0, 63
30, 7, NAN, 6.22kb, 0.000005sec, RES=3384kb, VmSize=190828kb, 0.000031sec, 0, 127
30, 8, NAN, 12.37kb, 0.000011sec, RES=3384kb, VmSize=190828kb, 0.000035sec, 0, 255
30, 9, NAN, 24.66kb, 0.000021sec, RES=3384kb, VmSize=190828kb, 0.000046sec, 0, 511
30, 10, NAN, 49.23kb, 0.000043sec, RES=3384kb, VmSize=190828kb, 0.000067sec, 0, 1023
30, 11, NAN, 98.38kb, 0.000088sec, RES=3384kb, VmSize=190828kb, 0.000114sec, 0, 2047
30, 12, NAN, 196.69kb, 0.000179sec, RES=3384kb, VmSize=190828kb, 0.000204sec, 0, 4095
30, 13, NAN, 393.30kb, 0.004672sec, RES=3384kb, VmSize=190828kb, 0.005147sec, 0, 8191
30, 14, NAN, 786.51kb, 0.000729sec, RES=3384kb, VmSize=190828kb, 0.000765sec, 0, 16383
30, 15, NAN, 1572.94kb, 0.001848sec, RES=4968kb, VmSize=192368kb, 0.001889sec, 0, 32767
31, 1, NAN, 0.18kb, 0.000001sec, RES=3508kb, VmSize=190828kb, 0.000031sec, 0, 1
31, 2, NAN, 0.27kb, 0.000000sec, RES=3508kb, VmSize=190828kb, 0.000027sec, 0, 3
31, 3, NAN, 0.46kb, 0.000000sec, RES=3508kb, VmSize=190828kb, 0.000026sec, 0, 7
31, 4, NAN, 0.85kb, 0.000001sec, RES=3508kb, VmSize=190828kb, 0.000027sec, 0, 15
31, 5, NAN, 1.62kb, 0.000001sec, RES=3508kb, VmSize=190828kb, 0.000029sec, 0, 31
31, 6, NAN, 3.15kb, 0.000003sec, RES=3508kb, VmSize=190828kb, 0.000029sec, 0, 63
31, 7, NAN, 6.22kb, 0.000006sec, RES=3508kb, VmSize=190828kb, 0.000032sec, 0, 127
