n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack #random_message
23, 6, NAN, 7kb, 0.000018sec, RES=397048kb, VmSize=920524kb, 0.092013sec, 196955
23, 7, NAN, 14kb, 0.000032sec, RES=397048kb, VmSize=920524kb, 0.006761sec, 14192
23, 8, NAN, 28kb, 0.000074sec, RES=397048kb, VmSize=920524kb, 0.017027sec, 35866
23, 9, NAN, 57kb, 0.000134sec, RES=397048kb, VmSize=920676kb, 0.004379sec, 9129
23, 10, NAN, 114kb, 0.000277sec, RES=397072kb, VmSize=920620kb, 0.005286sec, 10724
23, 11, NAN, 229kb, 0.000507sec, RES=397072kb, VmSize=920752kb, 0.001457sec, 2034
23, 12, NAN, 458kb, 0.000999sec, RES=397344kb, VmSize=921076kb, -1sec, 0
23, 13, NAN, 917kb, 0.000976sec, RES=397704kb, VmSize=921980kb, -1sec, 0
23, 14, NAN, 1835kb, 0.001111sec, RES=398512kb, VmSize=923780kb, -1sec, 0
23, 15, NAN, 3670kb, 0.001348sec, RES=400056kb, VmSize=927372kb, -1sec, 0
23, 16, NAN, 7340kb, 0.001682sec, RES=403136kb, VmSize=934548kb, -1sec, 0
23, 17, NAN, 14680kb, 0.002389sec, RES=409288kb, VmSize=948892kb, -1sec, 0
23, 18, NAN, 29360kb, 0.003834sec, RES=421584kb, VmSize=977572kb, -1sec, 0
23, 19, NAN, 58720kb, 0.006762sec, RES=446168kb, VmSize=1034924kb, -1sec, 0
23, 20, NAN, 117440kb, 0.011931sec, RES=495328kb, VmSize=1149620kb, -1sec, 0
23, 21, NAN, 234881kb, 0.022357sec, RES=593616kb, VmSize=1379004kb, -1sec, 0
23, 22, NAN, 469762kb, 0.043694sec, RES=790256kb, VmSize=1837764kb, -1sec, 0
24, 1, NAN, 0kb, 0.000001sec, RES=790256kb, VmSize=1837764kb, 2.580398sec, 5551611
24, 2, NAN, 0kb, 0.000001sec, RES=790256kb, VmSize=1837764kb, 3.043924sec, 6529875
24, 3, NAN, 0kb, 0.000003sec, RES=790256kb, VmSize=1837764kb, 0.407849sec, 875541
24, 4, NAN, 1kb, 0.000005sec, RES=790256kb, VmSize=1837764kb, 0.318254sec, 671532
24, 5, NAN, 3kb, 0.000034sec, RES=790256kb, VmSize=1837764kb, 0.068941sec, 147173
24, 6, NAN, 7kb, 0.000018sec, RES=790256kb, VmSize=1837764kb, 0.187998sec, 394537
24, 7, NAN, 14kb, 0.000031sec, RES=790256kb, VmSize=1837764kb, 0.009330sec, 19502
24, 8, NAN, 28kb, 0.000065sec, RES=790256kb, VmSize=1837764kb, 0.091253sec, 192827
24, 9, NAN, 57kb, 0.000121sec, RES=790256kb, VmSize=1837764kb, 0.009957sec, 20315
24, 10, NAN, 114kb, 0.000253sec, RES=790256kb, VmSize=1837764kb, 0.004866sec, 9889
24, 11, NAN, 229kb, 0.000542sec, RES=790256kb, VmSize=1837988kb, 0.005210sec, 9954
24, 12, NAN, 458kb, 0.001061sec, RES=790472kb, VmSize=1838220kb, 0.001667sec, 1263
24, 13, NAN, 917kb, 0.001719sec, RES=790664kb, VmSize=1838668kb, -1sec, 0
24, 14, NAN, 1835kb, 0.001833sec, RES=791440kb, VmSize=1840468kb, -1sec, 0
24, 15, NAN, 3670kb, 0.002200sec, RES=792984kb, VmSize=1844060kb, -1sec, 0
24, 16, NAN, 7340kb, 0.002738sec, RES=796064kb, VmSize=1851236kb, -1sec, 0
24, 17, NAN, 14680kb, 0.003270sec, RES=802216kb, VmSize=1865580kb, -1sec, 0
24, 18, NAN, 29360kb, 0.004629sec, RES=814512kb, VmSize=1894260kb, -1sec, 0
24, 19, NAN, 58720kb, 0.007280sec, RES=839096kb, VmSize=1951612kb, -1sec, 0
24, 20, NAN, 117440kb, 0.012521sec, RES=888256kb, VmSize=2066308kb, -1sec, 0
24, 21, NAN, 234881kb, 0.022666sec, RES=986568kb, VmSize=2295692kb, -1sec, 0
24, 22, NAN, 469762kb, 0.043148sec, RES=1183184kb, VmSize=2754452kb, -1sec, 0
